Text,Income,Credit_Score,Rating,Loan_Amount,DTI_Ratio,Employment_Status,Approval
I need money to cover unexpected medical expenses from surgery.,99031,826,Excellent,61223,32.83,1,0
I want to start a mobile pet grooming service and need funds for supplies.,151652,643,Fair,64444,12.32,1,1
I want to start a mobile pet grooming service and need funds for supplies.,186218,408,Poor,105993,13.18,1,0
I need a loan to finance my MBA and career advancement.,184033,602,Fair,3482,25.41,1,1
I need money to purchase updated equipment for my photography business.,119516,562,Poor,56621,27.09,0,0
I need money to refinance my home loan at a lower interest rate.,180318,555,Poor,40284,12.81,0,0
I want to invest in livestock to start a small dairy farm.,99122,845,Excellent,24681,13.78,1,1
I need financial help to build my dream home in the countryside.,79337,435,Poor,46384,19.71,0,0
I want to make home improvements like installing solar panels.,40339,626,Fair,7799,33.29,0,0
I need a loan to buy a truck and start a moving business.,156025,372,Poor,116937,15.16,1,0
I need a loan to relocate to a new city after getting a job offer.,67115,337,Poor,46588,43.38,0,0
I want to consolidate my credit card debts into one manageable payment.,107945,827,Excellent,65886,12.55,1,0
I need funds to upgrade my computer and buy software for freelance work.,23525,567,Poor,14566,52.91,1,0
I want to purchase land to start an organic farming venture.,125945,544,Poor,3119,30.07,0,0
I need a loan to pay for my son's medical treatment and therapy.,59086,719,Good,19232,43.19,0,0
I need a loan to relocate to a new city after getting a job offer.,125745,801,Excellent,24374,35.47,0,0
I want to start a local transportation service and need funds for a van.,163540,820,Excellent,33632,12.33,0,0
I need a loan to pay for my son's medical treatment and therapy.,158016,309,Poor,57748,26.93,0,0
I need a loan to pay for a much-needed vacation after years of saving.,104220,353,Poor,27362,46.04,0,0
I need a loan to pay for legal fees related to my business license.,192936,610,Fair,135638,19.06,1,0
I want to invest in a rental property as a source of passive income.,81000,315,Poor,32392,6.77,0,0
I need financial assistance to launch my own YouTube content creation business.,62504,829,Excellent,38424,50.19,1,0
I need financial assistance to buy farm equipment for my agricultural business.,34453,639,Fair,14641,15.34,1,1
I need a loan to pay for a much-needed vacation after years of saving.,151273,788,Very Good,51414,24.73,0,0
I need a loan to install a security system at home.,47814,746,Very Good,37167,20.58,0,0
I need financial help to build my dream home in the countryside.,189560,352,Poor,66214,15.51,0,0
I want to buy a car for my rideshare business on Uber.,135889,334,Poor,11843,15.96,0,0
I need a loan to pay for an international vacation with my family.,22624,708,Good,6795,47.98,0,0
I need a loan to develop and launch my mobile app startup.,36220,713,Good,11248,24.95,0,0
I need a loan to pay off overdue electricity and water bills.,90971,427,Poor,9379,18.24,0,0
I want to start a local transportation service and need funds for a van.,161811,626,Fair,36430,6.63,0,0
I need a loan to buy a truck and start a moving business.,169196,632,Fair,12892,18.52,0,0
I need a loan to buy a motorcycle for daily transportation.,27351,626,Fair,6905,47.61,0,0
I need a loan to finance my MBA and career advancement.,62548,440,Poor,27265,8.91,1,0
I need financial help to build my dream home in the countryside.,198814,408,Poor,61806,17.25,0,0
I want to make home improvements like installing solar panels.,95095,561,Poor,15893,18.01,0,0
I need a loan to relocate to a new city after getting a job offer.,53973,813,Excellent,18027,39.17,0,0
I need a loan to install a security system at home.,199464,681,Good,116771,12.94,0,0
I need funds to launch my handmade jewelry brand online.,88142,492,Poor,60461,52.28,1,0
I need funds to launch my handmade jewelry brand online.,95791,365,Poor,22684,50.42,0,0
I need money to cover adoption fees and related expenses.,45466,382,Poor,26931,28.17,0,0
I need a loan to install a security system at home.,123695,710,Good,36682,23.66,1,1
I need money to buy new tools and materials for my woodworking business.,68067,717,Good,19736,57.65,1,0
I need a loan to buy a reliable used car for work commuting.,183215,301,Poor,73562,15.62,1,0
I need money to pay for a vocational training course in plumbing.,128044,653,Fair,101709,25.31,0,0
I need money to invest in a franchise business opportunity.,110046,719,Good,52858,28.14,1,1
I need funds to buy new furniture and appliances for my house.,31826,309,Poor,11872,49.45,0,0
I need a loan to repair my car after an accident.,142806,512,Poor,113762,8.18,0,0
I need money to invest in stock trading and portfolio building.,130005,813,Excellent,42118,27.13,1,1
I need a loan to cover hospital bills after an unexpected surgery.,124226,568,Poor,4011,24.91,0,0
I need financial support for medical treatment abroad.,102651,372,Poor,36209,6.88,1,0
I want to purchase land to start an organic farming venture.,99801,743,Very Good,53518,44.55,0,0
I need money to cover adoption fees and related expenses.,131352,600,Fair,75910,30.56,0,0
I need funds to buy new furniture and appliances for my house.,189139,305,Poor,49447,6.27,1,0
I want to expand my small online clothing store.,181695,672,Good,104603,25.33,0,0
I need a loan to buy a motorcycle for daily transportation.,124240,786,Very Good,45919,35.4,0,0
I need money to cover funeral expenses for a loved one.,122271,321,Poor,37748,26.04,0,0
"I need a loan for home renovation, including a kitchen remodel.",163635,415,Poor,47056,9.81,1,0
I need a loan to cover emergency expenses after a natural disaster.,77259,533,Poor,35089,58.96,0,0
I need money to purchase specialized tools for my auto repair shop.,65371,807,Excellent,38610,12.7,0,0
I want to expand my small online clothing store.,119612,615,Fair,53163,7.57,1,1
I need a loan to pay for a much-needed vacation after years of saving.,146683,495,Poor,32167,22.36,0,0
I want to make home improvements like installing solar panels.,132177,816,Excellent,95537,4.32,1,0
I need money to refinance my home loan at a lower interest rate.,88019,390,Poor,62161,23.24,0,0
I need a loan to develop and launch my mobile app startup.,132340,425,Poor,97009,35.65,1,0
I need funds to expand my home-based bakery to a physical store.,88893,361,Poor,6422,25.08,0,0
I need funds to stock inventory for my new retail store.,192475,325,Poor,112267,24.12,1,0
I need a loan to build a website and market my freelance services.,180167,474,Poor,72240,17.98,1,0
I want to consolidate my credit card debts into one manageable payment.,198547,758,Very Good,46807,5.22,1,1
I need money to refinance my home loan at a lower interest rate.,71422,830,Excellent,8769,49.33,1,1
I need a loan to pay for an international vacation with my family.,187048,640,Fair,79885,9.56,0,0
I need money to refinance my home loan at a lower interest rate.,72756,615,Fair,3349,63.77,1,0
I want to start a small roadside food stall and need funds for equipment.,113121,767,Very Good,12236,41.0,1,1
I need a loan to pay for a digital marketing course to grow my business.,183829,683,Good,38094,15.08,1,1
I need a loan to pay for my son's medical treatment and therapy.,150459,744,Very Good,1682,17.53,1,1
I want to start a small roadside food stall and need funds for equipment.,92843,584,Fair,13800,48.38,0,0
I need a loan to cover emergency expenses after a natural disaster.,172695,356,Poor,122188,15.86,0,0
I need financial assistance to buy farm equipment for my agricultural business.,136873,512,Poor,24261,35.3,1,0
I want to purchase land to start an organic farming venture.,95073,608,Fair,73808,8.14,0,0
I need a loan to cover moving expenses after being transferred to another city.,49532,827,Excellent,27703,28.41,1,1
I need money to publish and market my self-written book.,176424,305,Poor,39012,15.35,0,0
I need money to refinance my home loan at a lower interest rate.,95175,828,Excellent,10970,36.96,1,1
I need money to invest in a franchise business opportunity.,174102,648,Fair,49815,17.56,0,0
I need money to purchase updated equipment for my photography business.,98143,704,Good,70451,28.31,1,0
I need financial support to open a daycare center in my neighborhood.,182802,702,Good,20740,11.26,0,0
I need a loan to build a website and market my freelance services.,142035,425,Poor,12350,27.6,1,0
"I need a loan for home renovation, including a kitchen remodel.",118561,426,Poor,12781,13.08,1,0
I need money to invest in a franchise business opportunity.,152580,544,Poor,22045,14.12,1,0
I need a loan to pay for an international vacation with my family.,170800,746,Very Good,12242,19.26,1,1
I want to purchase land to start an organic farming venture.,195848,821,Excellent,79932,18.8,0,0
I need financial help to cover maternity and delivery expenses.,83601,400,Poor,4760,14.35,1,0
I need a loan to start a small business.,74121,711,Good,33924,41.56,0,0
I need a loan to start a small business.,145992,617,Fair,81908,8.91,1,1
I need money to publish and market my self-written book.,135513,762,Very Good,17148,15.53,0,0
I need money to launch my own tech startup focused on AI solutions.,135042,850,Excellent,10858,7.04,1,1
I need a loan to repair my car after an accident.,68554,749,Very Good,44132,60.14,0,0
I need a loan to cover emergency expenses after a natural disaster.,53573,693,Good,19505,27.35,1,1
I want to start a local transportation service and need funds for a van.,195957,473,Poor,100440,25.34,1,0
I need a loan to develop and launch my mobile app startup.,196764,711,Good,43572,24.92,0,0
I need money to launch my own tech startup focused on AI solutions.,150558,443,Poor,78212,16.63,0,0
I need a loan to repair my car after an accident.,22923,444,Poor,8075,35.37,1,0
I want to expand my small online clothing store.,197333,646,Fair,31874,12.58,1,1
I need funds to buy new furniture and appliances for my house.,154428,663,Fair,114000,4.56,1,0
I need financial help to cover unexpected veterinary bills for my pet.,168895,806,Excellent,50973,3.37,0,0
I need money to purchase a food truck and start my own business.,173239,408,Poor,131123,16.57,0,0
I need a loan to pay for an international vacation with my family.,88596,313,Poor,34301,25.86,0,0
I need money to buy new tools and materials for my woodworking business.,187078,511,Poor,104542,19.9,1,0
I need a loan to relocate to a new city after getting a job offer.,127742,785,Very Good,32404,27.38,1,1
I need a loan to start a small business.,121676,712,Good,46115,23.79,0,0
I want to start a small roadside food stall and need funds for equipment.,41902,704,Good,1607,59.24,1,0
I need financial help to pay off my high-interest payday loans.,90385,765,Very Good,26939,50.88,0,0
I want to start a small roadside food stall and need funds for equipment.,26702,342,Poor,16227,27.71,1,0
I need money to refinance my home loan at a lower interest rate.,132742,385,Poor,37534,26.05,1,0
I need a loan to pay for a down payment on my first home.,153584,733,Good,85170,7.16,0,0
I need a loan to pay for a down payment on my first home.,73279,395,Poor,44144,32.19,0,0
I need a loan to start a small business.,50891,350,Poor,30106,42.53,0,0
I need a loan to buy a truck and start a moving business.,115592,498,Poor,41959,8.57,1,0
I want to consolidate my credit card debts into one manageable payment.,193106,380,Poor,17730,18.53,1,0
I need a loan to buy a reliable used car for work commuting.,122820,640,Fair,25623,30.94,0,0
I need money to cover unexpected legal expenses related to a dispute.,137594,768,Very Good,19740,35.43,1,1
I need money to publish and market my self-written book.,168786,800,Excellent,132486,16.17,0,0
I need money to buy new tools and materials for my woodworking business.,45021,437,Poor,18465,34.95,0,0
I need funds to upgrade my computer and buy software for freelance work.,157089,817,Excellent,8639,23.65,1,1
I need funds to upgrade my computer and buy software for freelance work.,125955,763,Very Good,84884,19.29,0,0
I want to start a local transportation service and need funds for a van.,94151,746,Very Good,1885,46.72,1,1
I need money to open a small bookstore and café.,194273,549,Poor,106391,15.62,1,0
I need a loan to relocate to a new city after getting a job offer.,115377,761,Very Good,35952,5.31,1,1
I need money to invest in stock trading and portfolio building.,163162,762,Very Good,100809,20.9,1,0
I want to expand my small online clothing store.,69031,773,Very Good,5574,55.69,0,0
I need a loan to pay for an international vacation with my family.,71957,405,Poor,33917,42.05,1,0
I need a loan to repair my car after an accident.,176215,347,Poor,117199,7.12,0,0
I want to pay off my payday loans and switch to a lower-interest option.,131001,692,Good,60713,20.38,1,1
I need funds to pay for my daughter's college tuition.,25462,761,Very Good,6185,42.07,1,1
I want to start a local transportation service and need funds for a van.,38361,534,Poor,23503,55.09,1,0
I need a loan to pay for a digital marketing course to grow my business.,49873,454,Poor,19687,52.1,0,0
I need a loan to start a small business.,45041,511,Poor,21193,46.02,0,0
I need a loan to install a security system at home.,122413,837,Excellent,75312,9.43,1,0
I need financial help to install a swimming pool in my backyard.,148598,768,Very Good,63013,22.18,0,0
I need money to invest in a franchise business opportunity.,138517,384,Poor,95066,30.44,0,0
I need a loan to pay for an international vacation with my family.,126802,623,Fair,63376,14.16,0,0
I need money to buy new tools and materials for my woodworking business.,94328,729,Good,74167,17.33,0,0
I need a loan to buy a reliable used car for work commuting.,123624,407,Poor,87581,24.49,1,0
I need financial support for medical treatment abroad.,151846,511,Poor,114040,28.11,0,0
I need a loan to buy a truck and start a moving business.,136611,676,Good,108522,36.56,0,0
I need financial support for medical treatment abroad.,179401,667,Fair,5158,12.08,0,0
I need a loan to pay for an international vacation with my family.,98146,381,Poor,14158,42.18,0,0
I need a loan to buy a motorcycle for daily transportation.,44479,672,Good,16489,33.85,1,1
I need a loan to pay off overdue electricity and water bills.,195234,402,Poor,17810,13.02,1,0
I need a loan to pay for a digital marketing course to grow my business.,189249,698,Good,118279,21.39,1,0
I want to purchase land to start an organic farming venture.,128899,392,Poor,25442,11.17,1,0
I need funds to expand my home-based bakery to a physical store.,132534,759,Very Good,43075,7.45,0,0
I need a loan to pay for my son's medical treatment and therapy.,124204,648,Fair,35164,4.78,0,0
I need a loan to pay for a down payment on my first home.,120607,673,Good,5770,22.6,0,0
I need money to open a small bookstore and café.,187542,590,Fair,81152,19.37,1,1
I need a loan to start a small business.,180667,429,Poor,3824,23.23,0,0
I need funds to expand my home-based bakery to a physical store.,146089,382,Poor,92330,16.86,0,0
I need a loan to buy a motorcycle for daily transportation.,72338,631,Fair,8535,16.55,1,1
I need funds to stock inventory for my new retail store.,64759,576,Poor,37094,63.04,0,0
I need a loan to support my side business selling handmade candles.,160125,421,Poor,101659,27.46,0,0
I need financial support for medical treatment abroad.,136291,771,Very Good,10928,9.07,1,1
I need money to purchase updated equipment for my photography business.,111059,424,Poor,57893,31.0,0,0
I want to start a local transportation service and need funds for a van.,163376,452,Poor,102608,12.61,0,0
I need financial help to cover unexpected veterinary bills for my pet.,112267,442,Poor,46988,17.42,1,0
I want to start a small roadside food stall and need funds for equipment.,153809,621,Fair,87239,5.93,0,0
I need a loan to pay for a much-needed vacation after years of saving.,84742,813,Excellent,41984,49.01,1,1
I need money to publish and market my self-written book.,76554,841,Excellent,53631,39.07,0,0
I need financial help to build my dream home in the countryside.,188510,773,Very Good,134289,3.39,0,0
I need a loan to finance my MBA and career advancement.,130510,772,Very Good,34312,32.77,1,1
I need a loan to install a security system at home.,167870,628,Fair,90729,28.49,0,0
I need funds to upgrade my computer and buy software for freelance work.,58944,444,Poor,5868,33.82,0,0
I need financial support to renovate my rental apartment.,172212,342,Poor,18039,23.19,0,0
I need financial support for medical treatment abroad.,75982,718,Good,38417,32.02,0,0
I need funds to pay for my pilot training program.,177326,392,Poor,84013,20.06,0,0
I want to start a local transportation service and need funds for a van.,87784,336,Poor,27828,11.86,0,0
I need funds to expand my home-based bakery to a physical store.,55026,453,Poor,28939,15.75,1,0
I need funds to buy new furniture and appliances for my house.,125420,329,Poor,54122,25.02,1,0
I need financial support for medical treatment abroad.,144271,648,Fair,37843,30.78,0,0
I need a loan to cover moving expenses after being transferred to another city.,56882,659,Fair,17149,35.52,0,0
"I need a loan for home renovation, including a kitchen remodel.",103757,552,Poor,72812,7.1,1,0
I need financial assistance to launch my own YouTube content creation business.,176976,620,Fair,118477,20.48,1,0
I want to start a local transportation service and need funds for a van.,72387,348,Poor,7348,38.68,1,0
I need financial support for medical treatment abroad.,27570,710,Good,18491,63.17,0,0
I need a loan to relocate to a new city after getting a job offer.,138538,849,Excellent,46455,7.75,1,1
I need money to purchase updated equipment for my photography business.,157797,421,Poor,79251,18.81,0,0
I need a loan to build a website and market my freelance services.,107513,437,Poor,50066,44.55,0,0
I need a loan to pay for a digital marketing course to grow my business.,124351,571,Poor,48037,8.52,0,0
I need financial help to build my dream home in the countryside.,161519,313,Poor,51265,23.42,0,0
I need a loan to install a security system at home.,41801,741,Very Good,18342,56.83,0,0
I want to invest in a rental property as a source of passive income.,109273,536,Poor,16951,29.03,1,0
I need money to pay for a vocational training course in plumbing.,159473,752,Very Good,73191,15.54,0,0
I need money to refinance my home loan at a lower interest rate.,122339,563,Poor,46518,20.07,0,0
"I need a loan for home renovation, including a kitchen remodel.",56914,357,Poor,22572,13.43,1,0
I need money to pay for a vocational training course in plumbing.,50696,732,Good,1742,46.48,1,1
I want to start a small roadside food stall and need funds for equipment.,169752,695,Good,135718,17.26,1,0
I need financial support to renovate my rental apartment.,167833,758,Very Good,96465,18.28,1,1
I need a loan to start a small business.,46184,789,Very Good,15387,49.75,1,1
I want to start a small roadside food stall and need funds for equipment.,172678,758,Very Good,91295,21.99,0,0
"I need a loan for home renovation, including a kitchen remodel.",151095,565,Poor,8270,24.16,0,0
I need money to invest in stock trading and portfolio building.,137957,358,Poor,39851,4.83,1,0
I need financial help to cover maternity and delivery expenses.,196126,458,Poor,101336,18.05,0,0
I want to pay off my payday loans and switch to a lower-interest option.,80798,598,Fair,47124,59.14,1,0
"I need financial help to cover wedding expenses, including the venue and catering.",142480,588,Fair,30428,17.55,1,1
I need a loan to pay for legal fees related to my business license.,99179,491,Poor,27126,14.51,0,0
I need a loan to buy a motorcycle for daily transportation.,98749,824,Excellent,65405,46.45,0,0
I need a loan to pay for a digital marketing course to grow my business.,155150,469,Poor,38917,29.29,0,0
I need a loan to pay for an international vacation with my family.,60094,725,Good,19494,34.61,1,1
I want to buy a car for my rideshare business on Uber.,140123,451,Poor,29024,16.08,0,0
I need funds to enroll in a professional certification program.,193674,598,Fair,134673,3.63,1,0
I need money to invest in a franchise business opportunity.,124855,548,Poor,13130,39.78,1,0
I need a loan to start a small business.,47643,631,Fair,20406,44.92,1,1
I want to expand my small online clothing store.,98397,313,Poor,44407,11.93,1,0
I want to pay off my payday loans and switch to a lower-interest option.,35372,518,Poor,23073,22.03,1,0
I need financial support to open a daycare center in my neighborhood.,185063,571,Poor,67111,16.48,1,1
I need financial support to pay for my son's football training program.,85082,397,Poor,27246,57.61,0,0
I need a loan to buy a motorcycle for daily transportation.,119702,841,Excellent,9693,8.72,1,1
"I need a loan for home renovation, including a kitchen remodel.",95892,373,Poor,45765,22.51,1,0
I need money to invest in stock trading and portfolio building.,99998,360,Poor,35396,32.02,0,0
I need funds to buy new furniture and appliances for my house.,112428,386,Poor,38494,9.33,1,0
I need money to refinance my home loan at a lower interest rate.,177190,352,Poor,80622,22.06,0,0
I need a loan to repair my car after an accident.,182898,549,Poor,57808,5.04,0,0
I need a loan to pay for my son's medical treatment and therapy.,135215,381,Poor,62189,36.65,0,0
I need a loan to finance my MBA and career advancement.,127904,646,Fair,29970,20.65,1,1
I need money to pay for a vocational training course in plumbing.,59156,754,Very Good,13768,33.82,0,0
I need financial assistance to buy farm equipment for my agricultural business.,159132,311,Poor,45920,10.64,1,0
I want to invest in livestock to start a small dairy farm.,194723,457,Poor,104717,16.97,0,0
I need a loan to develop and launch my mobile app startup.,161517,474,Poor,38429,19.43,1,0
I need money to pay for a vocational training course in plumbing.,192665,421,Poor,39742,7.85,0,0
I need financial assistance to launch my own YouTube content creation business.,197517,604,Fair,74852,23.41,1,1
I need a loan to install a security system at home.,54298,478,Poor,32631,16.1,1,0
I need a loan to buy a reliable used car for work commuting.,162128,559,Poor,47179,9.06,0,0
I need financial help to cover maternity and delivery expenses.,166803,458,Poor,74990,24.35,1,0
I need financial help to cover maternity and delivery expenses.,178875,362,Poor,17489,18.76,1,0
I need financial help to pay off my high-interest payday loans.,65278,375,Poor,11798,33.64,0,0
I need a loan to cover hospital bills after an unexpected surgery.,155951,582,Fair,91122,22.59,0,0
I need a loan to cover moving expenses after being transferred to another city.,37480,776,Very Good,3618,54.51,0,0
I need financial help to install a swimming pool in my backyard.,78329,613,Fair,60487,40.23,1,0
I need money to publish and market my self-written book.,101439,659,Fair,33948,16.75,1,1
I need a loan to pay for a digital marketing course to grow my business.,199063,622,Fair,78946,7.25,1,1
I need a loan to pay for legal fees related to my business license.,153757,305,Poor,65006,6.67,1,0
I need money to cover funeral expenses for a loved one.,161488,773,Very Good,62575,26.61,1,1
I need funds to pay for my daughter's college tuition.,91522,309,Poor,44660,44.37,1,0
I need financial support for medical treatment abroad.,49972,787,Very Good,31315,56.61,0,0
I want to expand my small online clothing store.,95182,713,Good,49443,47.61,0,0
I need funds to buy new furniture and appliances for my house.,47569,598,Fair,30222,61.02,0,0
I need financial assistance to buy farm equipment for my agricultural business.,49453,354,Poor,13211,30.19,0,0
I need a loan to cover emergency expenses after a natural disaster.,97313,603,Fair,37588,32.37,0,0
I need funds to enroll in a professional certification program.,79022,471,Poor,40558,41.61,0,0
I want to expand my small online clothing store.,146811,540,Poor,71582,11.1,0,0
I need money to publish and market my self-written book.,126362,579,Poor,64864,13.29,1,1
I want to pay off my payday loans and switch to a lower-interest option.,137256,337,Poor,50735,8.92,1,0
I need financial support to renovate my rental apartment.,77631,702,Good,60483,40.71,0,0
I need a loan to cover hospital bills after an unexpected surgery.,137553,510,Poor,80130,6.92,0,0
I need a loan to pay for a digital marketing course to grow my business.,26157,709,Good,4388,53.78,0,0
I need money to launch my own tech startup focused on AI solutions.,114899,644,Fair,74871,27.34,0,0
I need a loan to cover hospital bills after an unexpected surgery.,117273,760,Very Good,66282,9.78,0,0
I need funds to stock inventory for my new retail store.,124524,395,Poor,21598,18.33,1,0
I need a loan to buy a reliable used car for work commuting.,135278,814,Excellent,65289,12.07,1,1
I need funds to pay for my daughter's college tuition.,140943,455,Poor,94847,10.37,1,0
I need a loan to start a small business.,60503,739,Good,19495,32.95,0,0
I need a loan to buy a reliable used car for work commuting.,148239,323,Poor,68965,33.68,0,0
I need money to refinance my home loan at a lower interest rate.,174286,604,Fair,22060,26.89,1,1
I need funds to enroll in a professional certification program.,30082,530,Poor,11308,43.25,0,0
I need money to cover funeral expenses for a loved one.,165005,494,Poor,50464,7.41,1,0
I need financial help to cover maternity and delivery expenses.,83172,341,Poor,27480,46.89,1,0
I need a loan to buy a motorcycle for daily transportation.,62177,512,Poor,46065,54.45,0,0
I need money to invest in a franchise business opportunity.,99918,572,Poor,13115,18.29,1,1
I need a loan to start a small business.,173806,429,Poor,118887,11.43,1,0
I need a loan to build a website and market my freelance services.,38666,540,Poor,21332,33.55,0,0
I need funds to launch my handmade jewelry brand online.,197844,340,Poor,81246,3.28,1,0
I want to start a mobile pet grooming service and need funds for supplies.,115206,485,Poor,55991,33.89,1,0
I need a loan to cover moving expenses after being transferred to another city.,49161,513,Poor,32740,28.16,1,0
I need money to purchase a food truck and start my own business.,84295,406,Poor,25582,40.01,1,0
I need a loan to install a security system at home.,54010,512,Poor,9028,21.81,1,0
I need money to cover funeral expenses for a loved one.,153549,782,Very Good,73970,26.02,1,1
I need financial support for medical treatment abroad.,169984,671,Good,83454,17.96,0,0
I need funds to buy new furniture and appliances for my house.,115715,799,Very Good,76999,12.92,1,0
I need money to purchase updated equipment for my photography business.,68016,494,Poor,34235,48.08,1,0
I need a loan to build a website and market my freelance services.,190230,642,Fair,136515,17.47,0,0
I need a loan to pay for a digital marketing course to grow my business.,147689,374,Poor,37970,31.63,0,0
I need a loan to pay for a down payment on my first home.,93443,700,Good,22579,45.27,1,1
I need financial help to cover unexpected veterinary bills for my pet.,124124,324,Poor,66208,8.85,0,0
I need money to pay for a vocational training course in plumbing.,88960,530,Poor,65806,21.14,1,0
I need money to start a home-based catering business.,160250,301,Poor,90906,21.41,1,0
I need money to cover funeral expenses for a loved one.,48246,450,Poor,33868,31.13,0,0
I need a loan to repair my car after an accident.,102479,392,Poor,1718,13.89,0,0
I need a loan to buy a motorcycle for daily transportation.,116842,731,Good,40574,17.94,0,0
I need a loan to install a security system at home.,36829,488,Poor,24060,34.87,0,0
"I need a loan for home renovation, including a kitchen remodel.",173851,361,Poor,52520,20.26,0,0
"I need a loan for home renovation, including a kitchen remodel.",123583,457,Poor,61259,33.12,1,0
I need money to cover unexpected medical expenses from surgery.,146104,702,Good,44559,11.19,0,0
I need a loan to cover emergency expenses after a natural disaster.,94347,467,Poor,9438,30.1,0,0
I need money to publish and market my self-written book.,127994,805,Excellent,51135,21.23,1,1
I need financial support to open a daycare center in my neighborhood.,73794,507,Poor,6578,28.94,1,0
I need funds to buy new furniture and appliances for my house.,82885,478,Poor,63694,58.78,0,0
I need money to open a small bookstore and café.,120967,328,Poor,95509,37.1,1,0
I need a loan to buy a truck and start a moving business.,83806,437,Poor,22354,49.17,1,0
I need a loan to pay for an international vacation with my family.,103308,658,Fair,58271,7.95,0,0
I need financial help to cover maternity and delivery expenses.,190400,471,Poor,32327,3.29,0,0
I need funds to pay for my daughter's college tuition.,82576,447,Poor,20977,15.08,0,0
I need a loan to pay for legal fees related to my business license.,103601,562,Poor,80471,22.69,0,0
I need funds to pay for my daughter's college tuition.,122588,649,Fair,22980,12.95,0,0
I need a loan to buy a motorcycle for daily transportation.,34932,610,Fair,18213,60.52,1,0
I need financial support to renovate my rental apartment.,43297,454,Poor,19188,21.58,0,0
I need money to buy new tools and materials for my woodworking business.,130269,726,Good,37250,18.45,0,0
I need money to purchase specialized tools for my auto repair shop.,195745,769,Very Good,13783,7.56,1,1
I need money to cover unexpected medical expenses from surgery.,117929,318,Poor,68556,41.17,1,0
I need a loan to cover moving expenses after being transferred to another city.,113255,848,Excellent,48047,40.56,0,0
I need financial help to pay off my high-interest payday loans.,151507,643,Fair,28944,11.19,1,1
I want to pay off my payday loans and switch to a lower-interest option.,161262,833,Excellent,89277,10.98,1,1
I need a loan to develop and launch my mobile app startup.,98726,467,Poor,34840,41.62,0,0
I need money to cover funeral expenses for a loved one.,160704,699,Good,53074,20.2,1,1
I want to buy a car for my rideshare business on Uber.,28046,377,Poor,16345,25.24,0,0
I need money to purchase specialized tools for my auto repair shop.,181228,666,Fair,17800,17.42,0,0
I need money to purchase specialized tools for my auto repair shop.,68439,409,Poor,35030,53.49,0,0
I need a loan to start a small business.,60813,684,Good,44444,51.31,0,0
I need a loan to pay for legal fees related to my business license.,102025,584,Fair,69676,19.4,0,0
I need a loan to install a security system at home.,153062,339,Poor,27336,17.07,1,0
I need a loan to cover moving expenses after being transferred to another city.,75885,457,Poor,23118,39.06,1,0
I need money to purchase specialized tools for my auto repair shop.,127054,818,Excellent,17222,31.48,0,0
I want to consolidate my credit card debts into one manageable payment.,185855,845,Excellent,94144,20.36,1,1
"I need financial help to cover wedding expenses, including the venue and catering.",63662,354,Poor,30280,57.8,0,0
I need financial help to cover maternity and delivery expenses.,161717,442,Poor,7900,24.72,0,0
I need a loan to develop and launch my mobile app startup.,151018,547,Poor,72305,19.46,0,0
I need a loan to pay for a down payment on my first home.,98221,444,Poor,5623,39.56,0,0
I need a loan to upgrade my small music studio with better equipment.,158021,745,Very Good,14897,26.67,0,0
I need funds to pay for my daughter's college tuition.,70460,303,Poor,52253,59.94,1,0
I need a loan to finance my MBA and career advancement.,143155,384,Poor,70956,11.18,1,0
I need financial support to pay for my son's football training program.,179388,339,Poor,6241,4.43,1,0
I need a loan to buy a truck and start a moving business.,69423,739,Good,52434,28.3,0,0
I need a loan to pay off overdue electricity and water bills.,109694,591,Fair,12942,19.5,0,0
I need a loan to finance my MBA and career advancement.,141322,457,Poor,79182,19.14,0,0
I need funds to upgrade my computer and buy software for freelance work.,48669,443,Poor,34405,28.33,1,0
I need money to launch my own tech startup focused on AI solutions.,195109,641,Fair,46849,3.62,0,0
I need funds to upgrade my computer and buy software for freelance work.,176142,568,Poor,109201,4.76,1,0
I need financial support to open a daycare center in my neighborhood.,137591,835,Excellent,61715,14.91,1,1
I want to invest in a rental property as a source of passive income.,182123,502,Poor,102078,24.61,0,0
I want to buy a car for my rideshare business on Uber.,140114,400,Poor,20188,11.72,1,0
I need financial help to cover unexpected veterinary bills for my pet.,79286,442,Poor,3380,19.38,1,0
I need a loan to relocate to a new city after getting a job offer.,142352,681,Good,96203,4.59,0,0
I need money to purchase specialized tools for my auto repair shop.,168014,337,Poor,11703,9.69,0,0
I need a loan to cover emergency expenses after a natural disaster.,62170,381,Poor,2649,50.13,0,0
I need funds to pay for my daughter's college tuition.,52582,467,Poor,23047,61.65,1,0
I need funds to pay for my daughter's college tuition.,80414,367,Poor,25894,35.74,1,0
I need a loan to cover hospital bills after an unexpected surgery.,73935,585,Fair,7580,46.7,1,1
I need money to cover funeral expenses for a loved one.,102631,411,Poor,78312,17.24,0,0
I need a loan to develop and launch my mobile app startup.,149081,566,Poor,72823,20.2,1,1
I need funds to expand my home-based bakery to a physical store.,59818,304,Poor,29477,25.32,1,0
I need money to cover unexpected medical expenses from surgery.,126043,473,Poor,65945,19.46,1,0
I need a loan to pay for an international vacation with my family.,57526,553,Poor,7348,47.21,0,0
I want to invest in a rental property as a source of passive income.,108764,637,Fair,21252,34.22,0,0
I need a loan to pay for a digital marketing course to grow my business.,178076,497,Poor,102793,19.61,1,0
